synset_id,synset_description,synset_words,wikidata_qnode,wikidata_description,wikidata_labels,gained_votes
tibetan_terrier.n.01,breed of medium-sized terriers bred in Tibet resembling Old English sheepdogs with fluffy curled tails,"Tibetan_terrier,chrysanthemum_dog",Q38796,dog breed,"Tibetan_Terrier,Tibetan_Terrier,Tibetan_Terrier,Tibetan_Terrier_",7|8
babushka.n.01,a woman's headscarf folded into a triangle and tied under the chin; worn by Russian peasant women,babushka,Q2002752,piece of cloth worn on one's head,"headscarf,Scarf,Headscarf,head-scarf,headscarf,headwraps,head_scarves,Headscarf,babushka,yaşmak,headscarves,''tudung''",7|8
lauric_acid.n.01,a crystalline fatty acid occurring as glycerides in natural fats and oils (especially coconut oil and palm-kernel oil),"lauric_acid,dodecanoic_acid",Q22283615,"The chemical reactions and pathways involving lauric acid, a fatty acid with the formula CH3(CH2)10COOH. Derived from vegetable sources.","lauric_acid_metabolic_process,n-dodecanoic_acid_metabolism,lauric_acid_metabolism,n-dodecanoic_acid_metabolic_process",7|8
blogger.n.01,a person who keeps and updates a blog,blogger,Q8246794,person who writes a blog,"blogger,weblogger",7|8
azimuthal.a.01,of or relating to or in azimuth,azimuthal,Q58467259,article,Azimuthal_anisotropy_in_Au+Au_collisions_atsNN=200GeV,7|8
oropharyngeal.a.01,of or relating to or located near the oropharynx,oropharyngeal,Q2031424,pharynx cancer that is located in the  oropharynx,"oropharynx_cancer,Oropharyngeal_carcinoma,malignant_Oropharyngeal_tumor,malignant_neoplasm_of_junctional_region_of_oropharynx,malignant_neoplasm_of_lateral_wall_of_oropharynx,malignant_neoplasm_of_oropharynx,malignant_neoplasm_of_posterior_wall_of_oropharynx,malignant_tumor_of_oropharynx_(disorder),malignant_tumor_of_posterior_wall_of_oropharynx_(disorder),malignant_tumour_of_mesopharynx_(disorder),primary_malignant_neoplasm_of_lateral_wall_of_oropharynx,oropharyngeal_cancer,malignant_tumor_of_posterior_wall_of_oropharynx,malignant_tumor_of_oropharynx,malignant_tumour_of_mesopharynx,Malignant_Tumor_of_the_Oropharynx,Malignant_Neoplasm_of_the_Oropharynx,cancer_of_oropharynx,Malignant_Oropharyngeal_Neoplasm,malignant_oropharynx_neoplasm,Oropharyngeal_cancer,oropharyngeal_squamous_cell_carcinoma,oropharynx,Oropharyngeal_cancer,oropharyngeal_cancer,throat_cancer,oropharyngeal/laryngeal_cancer,mouth_cancer,tonsil_cancer",7|8
school_ship.n.01,a ship used to train students as sailors,"school_ship,training_ship",Q660668,ship used to train students as sailors,"training_ship,Training_ship,training_cruisers,training_ship,training_vessel,T.S.,exercise_ship,training_brig,Training_ship,Training,practice_ship,TS,training,training_boat,sail_training_ship,Training_establishment,Sail_Training_Vessel,\,training_ships,school_ship,drill_ship,School_ship,Sail_Training_Ship,training_base,train_officers,training_carrier,Training_Ship",7|8
trondheim_fjord.n.01,a long narrow inlet of the Norwegian Sea,"Trondheim_Fjord,Trondheim_Fiord",Q279579,inlet of the Norwegian Sea in Norway,"Trondheimsfjord,Trondheim_Fjord,Trondheim_Fjord",7|8
suprasegmental.s.01,pertaining to a feature of speech that extends over more than a single speech sound,suprasegmental,Q10880526,"part of linguistics concerned with elements of speech that are not individual phonetic segments, but properties of syllables and larger units of speech","prosody,Prosody_(linguistics),prosodic_analysis,pause,prosodic_system,tonic_stress,metrical_information,linguistic_prosody,prosodical,prosodist,Prosody,prosodic_features,prosodic_context,suprasegmental,prosody,Prosodists,prosodically,prosodists,prosodic_properties,prosodic_characteristics,prosodic_contour,prosody_(linguistics),speech-rhythm,prosodic_domains,suprasegmental_profile,Prosodic_Phonology,Suprasegmental_variations,speech_prosody,prosodic_units,Prosodic,Metrics,prosodic_elements,prosodic_structure,suprasegmental_system,prosodic,Prosody_(linguistics),suprasegmental_feature",7|8
fricassee.v.01,make a fricassee of by cooking,fricassee,Q791790,method of cooking meat,"fricassee,Fricassee,Fricasé,Fricassee,fricassee,chicken_fricassee,fricasseing",7|8
hassock.n.02,a cushion for kneeling on (as when praying in church),hassock,Q3545350,piece of furniture used as a footstool or low seat,"tuffet,pouffe,hassock,Tuffet,tuffet,hassocks,hassock,Hassock,Tuffet,tuffets,Pouffe,pouffe",7|8
forepaw.n.01,front paw; analogous to the human hand,forepaw,Q56700734,article,"The_effects_of_systemic,_intrastriatal,_and_intrapallidal_injections_of_caffeine_and_systemic_injections_of_A2A_and_A1_antagonists_on_forepaw_stepping_in_the_unilateral_6-OHDA-lesioned_rat",7|8
spittle_insect.n.01,small leaping herbivorous insect that lives in a mass of protective froth which it and its larvae secrete,"spittle_insect,spittlebug",Q137213,superfamily of insects,"froghopper,Cercopoidea,Froghopper,spittle_bugs,froghopper,Froghopper,spittlebugs,Cercopoidea",7|8
evening_shift.n.01,the work shift during the evening (as 4 p.m. to midnight),"evening_shift,swing_shift",Q1068683,"employment practice designed to make use of, or provide service across, all 24 hours of the clock each day of the week","shift_work,Shift_work,rotating_shifts,Shift_work,late_night_shift,Work_and_Rest_Rules,Night_working,nightwatch,schedule,continuously,Shift_work#Practice,late_shifts,work_shift,third-shift,shift_work,12-hour_shift,night_working,Shift_pattern,day_shift,third_shift,second_shift,Evening_Shift,graveyard_shift,shift_staff,night_shift,at_work,night_shifts,Shift_work,night-shift,shift-workers,Night_Shift,shifts,shift_change,shift-work,night_workers,shift",7|8
einthoven.n.01,Dutch physiologist who devised the first electrocardiograph (1860-1927),"Einthoven,Willem_Einthoven",Q189488,Dutch physiologist,"Willem_Einthoven,Willem_Einthoven,Einthoven,_Willem,Willem_Einthoven",7|8
invulnerability.n.01,having the strength to withstand attack,"invulnerability,impregnability",Q1178984,inability to withstand an event,"vulnerability,Vulnerability,invulnerability,Vulnerability#Invulnerability,Vulnerable,vulnerable,'''vulnerability_to_anxiety''',vulnerabilities,Vulnerability,invulnerable,potential_security_weaknesses,vulnerability,weaknesses",7|8
caruso.n.01,outstanding Italian operatic tenor (1873-1921),"Caruso,Enrico_Caruso",Q170726,Italian operatic tenor,"Enrico_Caruso,Errico_Caruso,Enriko_Karuzo,Enrico_Caruso,Signor_Caruso,caruso,Caruso,Enrico_Caruso",7|8
beachwear.n.01,clothing to be worn at a beach,beachwear,Q17749756,"clothing for wear at the beach, or at poolside","swimwear,swim-_and_beachwear,beachwear",7|8
bush_jacket.n.01,a loose fitting jacket; resembles a shirt with four patch pockets and a belt,bush_jacket,Q1017345,"hip-length, belted jacket with two sets of patch pockets and a notched collar","bush_jacket,safari_jacket,Safari_jacket,safari_jacket,khakis,Safari_jacket",7|8
litter.n.01,the offspring at one birth of a multiparous mammal,litter,Q37304737,family name,Litter,7|8
ivory_palm.n.01,a stemless palm tree of Brazil and Peru bearing ivory nuts,"ivory_palm,ivory-nut_palm,ivory_plant,Phytelephas_macrocarpa",Q1668576,product made from the very hard white endosperm of the seeds of certain palm trees,"vegetable_ivory,corozo,tagua_nut,Vegetable_ivory,vegetable_ivory,Vegetable_ivory",7|8
presbyterian.n.01,a follower of Calvinism as taught in the Presbyterian Church,Presbyterian,Q178169,branch of Protestant Christianity using presbyterian church government and origie British Isles,"Presbyterianism,Methobyterian_Church,Presbyterian_churches,Presbyterianism,_Presbyterian_Church,Presbyterianism,,Presbyterian_Manse,Presbyterian_Churches,''Presbyterian'',Scottish_Presbyterian,Presbyt'ry,Presbiteriano,First_Presbyterian_Church,Scottish,Presbyterian_Mission,presbyterians,Presbyterian_accent,Radical_Presbyterianism,Presbyterian_Church_of_Scotland,Independent,Scots_presbyterians,American_Presbyterian_Church,Scottish_Presbyterianism,Presbyterianism#Scotland,Presbyterian_ministry,Presbyterian's,Presbyterian_and_Reformed,Presbyterian_faith,Presbyterianism,Presbyterian_minister,Presbyterian_Church_in_Scotland,First_Presbyterian_Church_of_Hammond,Presbyterian_polity,Presbyterian,presbyterian,Presbyterian_Board_of_Missions_for_Freedmen,Archpresbyter,Presbyterian_Church,Presbyterianism#Ireland,presbyterianism,Scottish_presbyterians,National_Presbyterian_Church,Scottish_Presbyterian_Church,Presbyterian_pastor,Presbyterian_Church_in_the_United_States,Presbyterian_Society,Presbyterian_Cross,Scotland,Presbyterian_church,Presbytery,Presbyterians,Scottish_Presbyterians,English_Presbyterian,Presbyterian_churches",7|8
inventory.n.03,(accounting) the value of a firm's current assets including raw materials and work in progress and finished goods,inventory,Q815410,goods held for resale,"inventory,Inventory,Music_Inventory_Manager,network_inventory,terrier,inventory,stockholders,inventoried,turnover,stocks,inventoriable,Inventories,Stock/inventory,stock-room,inventory_proportionality,Inventory,inventories,Inventory#Distressed_inventory,stockroom,product,inventory_management,Inventory#Typology,stock",7|8
fredericton.n.01,the provincial capital of New Brunswick,Fredericton,Q2138,"capital city of province of New Brunswick, Canada","Fredericton,Fredericton,_New_Brunswick,Fredericton,Fredericton,Greater_Fredericton,Fredericton,_NB,City_of_Fredericton,Fredericton_proper,Fredericton#Historic_Marysville,Fredericton,_New_Brunswick,Fredericton,_New_Brunswick,_Canada,Fredericton,_Canada,Geography_and_climate_of_Fredericton,Fredericton#Nineteenth_and_twentieth_centuries,237,Sainte-Anne-des-Pays-Bas,Demographics_of_Fredericton,Frederickton,Fredericton_NB,Fort_St._Anne",7|8
surface_tension.n.01,a phenomenon at the surface of a liquid caused by intermolecular forces,surface_tension,Q14914146,Any process that modulates the surface tension of a liquid. Surface tension is the property that makes a liquid behave as if it had an elastic skin on its surface at the interface with a gas or an immiscible liquid.,"regulation_of_liquid_surface_tension,GO:0050828,regulation_of_surface_tension_of_a_liquid,surfactant_activity",7|8
systolic.a.01,of or relating to a systole or happening during a systole,systolic,Q57085781,article,Effects_of_Calcium-Channel_Blockade_in_Older_Patients_with_Diabetes_and_Systolic_Hypertension,7|8
pyrogallic.a.01,of or relating to pyrogallol,pyrogallic,Q388692,chemical compound,"pyrogallol,Fouramine_Brown_AP,Fourrine_85,2,3-Dihydroxyphenol,1,2,3-Benzenetriol_(ACD/Name_4.0),Benzene-1,2,3-triol,1,2,3-Trihydroxy-Benzene,Pyro,Fourrine_PG,C.I._Oxidation_Base_32,Fouramine_base_ap,Piral,1,2,3-Trihydroxybenzen,1,2,3-Trihydroxybenzen_(CZECH),Phenol,Pyrogallol,Pyrogallol,pyrogallic,pyrogallol,pyro_developer,pyrogallotannin",7|8
bevel_gear.n.01,gears that mesh at an angle,"bevel_gear,pinion_and_crown_wheel,pinion_and_ring_gear",Q2070019,"geared steam locomotive with offset boiler, vertical cylinders and bevel-gear drive","Shay_locomotive,Shay,Shay_locomotive,Shay-geared_locomotive,locomotive,Shay,Shay_geared_locomotive,Shay_geared,shay_locomotive,Shay_engine,Shays,Shay_engines,3-cylinder_Shay_geared,Shay_steam_locomotive,Shay_Locomotive,Shay_locomotive,Two-Truck_Shay,Shay_steam_locomotives,Shay_(class_B),Truck_Shay",7|8
lithiasis.n.01,the formation of stones (calculi) in an internal organ,lithiasis,Q617079,"concretion of material, usually mineral salts, that forms in an organ or duct of the body","calculus,stone,lithiasis,Calculus_(medicine),Calculi,calculous,the_stone,stone_disorders,calculus,solid_piece_of_material,Lithiasis_treatment,stones,calculi,calculus_(medicine),lithogenesis,Calculus,stone,Calculus_(medicine)",7|8
chlorthalidone.n.01,a diuretic (trade names Hygroton and Thalidone) used to control hypertension and conditions that cause edema; effective in lowering blood pressure to prevent heart attacks,"chlorthalidone,Hygroton,Thalidone",Q48566805,combination drug,Atenolol_/_Chlorthalidone,7|8
mercifulness.n.02,a disposition to be kind and forgiving,"mercifulness,mercy",Q336392,"broad term that refers to benevolence, forgiveness, and kindness","mercy,Mercy,Mercius,virtue_of_compassion,quarter,mercy,merciful,lenient,Mercy,Merced,mercifulness",7|8
evasive.s.02,avoiding or escaping from difficulty or danger especially enemy fire,evasive,Q851436,type of security operative or government agent who protects a person or persons,"bodyguard,Bodyguard,close_protection_unit,heavies,bodyguarding,close_protection,knight_of_the_Body,physically_protecting,shield,security_company,bodyguard_,gardes_du_corps,security,VIP_protection,personal_protection,personal_security,lifeguard,evasive_driving,guard,personal_security_detail,Body_Guard,Bodyguard#Notable_organizations,dignitaries,Personal_Security_Details,bodyguard,Yojimbo,Bodyguard,Protective_security,Gavaz,security_detail,Close_protection_officer,garde_de_corps,Bodyguard_,yojimbo,Close_protection,security_escorts,tactical_driving,Rainbow_Guard,VIP-protection,bodyguards,Kingsguard,Close_Protection_Team",7|8
longish.s.01,somewhat long,longish,Q8708928,Wikimedia category,Category:Pages_that_may_need_the_longish_tag,7|8
photocoagulator.n.01,surgical instrument containing a laser for use in photocoagulation,photocoagulator,Q64649823,clinical trial,Retinal_Laser_by_Multi-spot_Photocoagulator_and_Driving_Eligibility,7|8
cystic_fibrosis_transport_regulator.n.01,the gene that is mutated in cystic fibrosis,"cystic_fibrosis_transport_regulator,CFTR",Q14864712,protein-coding gene in the species Homo sapiens,"CFTR,ABC35,ABCC7,CF,CFTR/MRP,MRP7,TNR-CFTR,dJ760C5.1,cystic_fibrosis_transmembrane_conductance_regulator,Cystic_fibrosis_transmembrane_conductance_regulator,CF-causing_gene,''CFTR'',CFTR_channel,CF_transmembrane_conductance_regulator_(CFTR),trans-membrane_conductance_regulator,CFTR,CFTR_gene,product_of_this_gene,Cystic_Fibrosis_Transmembrane_Regulator,cystic_fibrosis_transmembrane_conductance,Cystic_fibrosis_transmembrane_conductance_regulator,CFTR_genes,cystic_fibrosis_transmembrane_conductance_regulator",7|8
elder_statesman.n.02,an elderly statesman whose advice is sought be government leaders,elder_statesman,Q372436,politician in high government offices,"statesperson,stateswoman,statesman,Statesman,statesman,Statesman,politician",7|8
zoroaster.n.01,Persian prophet who founded Zoroastrianism (circa 628-551 BC),"Zoroaster,Zarathustra",Q35811,Persian prophet and founder of Zoroastrianism,"Zoroaster,Zarathushtra,Zartosht,Zardusht,Zarathustra,Zarathushtra_Spitama,Zarathoustra,Zoroastre,Zurtasht,Zartusht,Zoroaster,Zoroaster#Date,Prophet_Zarathustra,Prophet_Zoroaster,Zarathushtra,ancient_Persian_philosopher,Zarathusthra_(Zoroaster),(pseudo-)Zoroaster,Zoroastrian,prophet,Zoroastrians,or_earlier,Zarathushtra_(Zoroaster),Zoroaster's_homeland,Zarathustra,Zarathustra_Spitma,Zoroastre,Zoroaster/Zarathustra,Zoroaster,Zoroaster_(or_Zarathustra),Zoroaster's,Zoroaster#In_classical_antiquity,Zarathustra_(Zoroaster)",7|8
job_control.n.01,a program that is called to prepare each job to be run,job_control,Q1505372,scripting languages used on IBM mainframe operating systems to instruct the system on how to run a batch job or start a subsystem,"Job_Control_Language,JCL,Job_Control_Language,IBM_Job_Control_Language_(JCL),job_control_language,job_control,Job_control,step,Job_Control_Language,JCL,DD_statement",7|8
pneumonectomy.n.01,surgical removal of a lung (usually to treat lung cancer),pneumonectomy,Q46565,surgical procedure,"pneumonectomy,pneumectomy,Pneumonectomy,left_lung,pneumonectomy,part_of_his_lung_surgically_removed,Pneumonectomy,lung_was_removed,removal_of_the_entire_lung,lung_removed",7|8
tap_dance.v.01,perform a tap dance,tap_dance,Q244475,tap dance,"tap_dance,Tap_Dancing,Tap_dance,tapping,paddle_and_roll_step,Tap_shoe,tap-dancer,Tap_Dancer,tap-dancing,two-colored_rule,Tap_Dance,two_colored_rule,tap-danced,tapdancer,Tap_dance#Tap_shoes,hoofers,tap_dancing,Tap_dance,Tap_dancer,Tap_dancing,toe_dancers,taps,Tap_Dancing,tap,Tap_shoes,Tap,soft-shoe,buck-and-wing,tap_danging,toe-tapping,soft_shoe,clog,tap_shoes,tap_dance,tap_dances,tap_dancer",7|8
bore_bit.n.01,a drill for penetrating rock,"bore_bit,borer,rock_drill,stone_drill",Q21744098,tool for drilling rock,"rock_drill,rock-drills",7|8
compact-disk_burner.n.01,recording equipment for making compact disks,"compact-disk_burner,CD_burner",Q4492,disk drive that uses laser light or electromagnetic waves,"optical_disc_drive,ODD,CD_drive,BluRay_drive,BD_drive,optical_disk_drive,optical_drive,disc_drive,burner,CD_burner,DVD_burner,DVD_drive,Blu-ray_burner,Blu-ray_drive,BD_burner,CD_recorder,DVD_recorder,Blu-ray_recorder,BD_recorder,CD_writer,DVD_writer,Blu-ray_writer,BD_writer,Optical_disc_drive,Optical_disc_drive,cd_drives,Optical_drive,Optical_disc_drive#Limit,CD-ROM_drives,Optical_Disc_Systems,writers,DVD_Drives,DVD_recorder,optical_disk_drive,optical_drives,optical_disc_drive,Laser_Disc_Recorder,Optical_Drives,optical_storage,drive,CD_or_DVD_drive,CD-ROM_drive,DVD_drive,Optical_discs,CD_burner,drives,optical_drive,Optical,optical_disc_recorder,CD_and_DVD_drives",7|8
vulnerability.n.02,susceptibility to injury or attack,vulnerability,Q631425,weakness which allows an attacker to reduce a system's information assurance,"computer_vulnerability,vulnerability,vuln,security_vulnerability,security_hole,Vulnerability_(computing),security_vulnerability,security_flaws,vulnerable,Vulnerability_management,vulnerability_exploits,technology_vulnerabilities,security_hole,software_vulnerability,security_vulnerabilities,security_problems,vulnerability,Vulnerability_Management,security,vulnerable_systems,Vulnerability_(computing),window_of_vulnerability,Vulnerability_(computing)#Software_vulnerabilities,vulnerabilities,vulnerability_(computing),computer_vulnerability,security_holes,Security_attack_vulnerabilities,flaw,software_security_exploits,Vulnerability_analysis,vulnerability_assessment,Vulnerability,weaknesses,exploit_a_security_hole,vulnerabilities/security_holes,Vulnerabilities,Vulnerability_in_computing,computer_vulnerabilities,practical_attack",7|8
two-eared.s.01,having two ears,two-eared,Q60758512,ceramic at the Cleveland Museum of Art,Two-Eared_Jar,7|8
coral-red.s.01,of red tinged with coral,coral-red,Q35803934,RAL color coral red,"RAL_3016,coral_red",7|8
delay_line.n.01,a circuit designed to introduce a calculated delay into the transmission of a signal,delay_line,Q1778158,"sequential-access refreshable memory, in which amplifier and a pulse shaper are connected between the output of the delay line and the input, creating a loop that maintains the signal","delay_line_memory,Delay_line_memory,ultrasonic_serial_memory,acoustic_delay_line,serial_access_memory,serial-access_memory,magnetostrictive_delay_lines,delay-line_memory,Delay_line,mercury_delay_line,delay_line_memory,Delay_line_memory,Delay_line_memory#Mercury_delay_lines,magnetostrictive_delay-line_memory,Mercury_acoustic_delay_line_computer_memory,delay_line,delay_lines,mercury_delay_lines,acoustic_delay_lines",7|8
actinometric.a.01,of or related to actinometry,"actinometric,actinometrical",Q57537642,article,Actinometric_and_radiometric_measurement_and_modeling_of_the_photolysis_rate_coefficient_of_ozone_to_O(1D)_during_Mauna_Loa_Observatory_Photochemistry_Experiment_2,7|8
gibberellin.n.01,a plant hormone isolated from a fungus; used in promoting plant growth,gibberellin,Q331818,plant hormone,"gibberellin,Gibberellin,gibberellic_acid,gibberellin,Gibberellin",7|8
algometer.n.01,device for measuring pain caused by pressure,algometer,Q64720768,clinical trial,Algometer_and_Category_II_Pelvic_Blocking_and_Cranial_Protocol,7|8
cousin.n.01,the child of your aunt or uncle,"cousin,first_cousin,cousin-german,full_cousin",Q76666,child of an uncle or aunt,"first_cousin,cousin",7|8
miles_per_gallon.n.01,the distance traveled in a vehicle powered by one gallon of gasoline or diesel fuel,miles_per_gallon,Q5042317,form of thermal efficiency,"fuel_efficiency,Fuel_efficiency,,fuel_burn_reduction,fuel-saving,fuel_savings,L/100&nbsp;km,energy-efficiency,gas_mileage,fuel_efficiency,Fuel-efficient,fuel_burn,waste_of_fuel,fuel-to-electricity_efficiency,fuel_efficient,fuel_use,energy_efficient_technologies,Fuel_economy,efficient_fuel_use,fuel-inefficient,miles_per_gallon,fuel-efficient,Fuel_consumption,fuel_consumption,Fuel_efficiency#Energy_content_of_fuel,fuel-efficiency,oil_consumption,Fuel_efficiency,fuel_economy,energy_economy,Energy_Intensity,amounts_for_about_8826_Wh,one_litre_of_fuel,fuel-efficiency_ratings,energy-intensity,efficiency,efficient",7|8
needle_biopsy.n.01,biopsy of deep tissue that is obtained through a hollow needle,needle_biopsy,Q179991,medical test involving sampling of cells or tissues for examination,"biopsy,Biopsy,core_biopsy,open_muscle_biopsy,excised,sampling,excision,biopsied,sample_of_the_colon,Biopsies,biopsies,biopsy,tissue_biopsies,biopsy_specimen,looking_at_cells,Biopsy#Core_needle_biopsy,partial,Biopsy#Gastrointestinal_tract,shave_excision,sample,skin_biopsy,surgical_excision,Biopsy,biospsies,tissue_sampling,sampled,Bone_biopsy,duodenal_biopsy,tissue_sample",7|8
appeaser.n.01,someone who tries to bring peace by acceding to demands; --Winston Churchill,appeaser,Q32986790,"Miniature of a Buddha holding a jewel and making a appeasing gesture, purchased in 1950",Appeasing_Buddha_with_jewel,7|8
iwo_jima.n.01,the largest of the Volcano Islands of Japan,Iwo_Jima,Q980697,island of the Japanese Volcano Islands chain south of the Ogasawara Islands,"South_Iwo_Jima,South_Iwo_Jima,Minami_Iwojima,Minami_Iwo_Jima,Minami-Iohjima_Island,South_Iwo_Jima,Minami_Iwo",7|8
trawl.n.01,a long fishing line with many shorter lines and hooks attached to it (usually suspended between buoys),"trawl,trawl_line,spiller,setline,trotline",Q326561,commercial fishing vessel designed to operate fishing trawls,"fishing_trawler,dragger,Trawler,Fishing_trawler,Stern_trawler,Brixham_trawler,beam_trawler,sea_trawlers,stern_trawler,Trawler,BBP,Side_trawlers,Freezer_trawlers,Outrigger_trawlers,fishing_trawler,trawlermen,Fishing_trawler,sidewinder_trawler,prawn_trawlers,freezer_trawler,medium_trawler,Fishing_Trawler,trawl-boat,trawling,Supertrawler,commercial_trawler,trawlers,Steam_Trawler,minitrawler,fishing_warp,fishing_vessels,trawl,sea_trawler,side_trawler,trawler,deep_sea_trawler,Wet_fish_trawlers,Fishing_trawler#Otter_trawlers,otter_trawlers,shrimp_trawlers,trawlerman,Winter_trawler,shrimp_trawler,Trawlers,Beam_trawler,fishing_trawl,beam_trawlers,Pair_trawlers,trawls,Sidefishing_Trawler,Fishing_trawler#Stern_trawlers,fishing,Beam_trawlers",7|8
carry-over.n.02,the accumulated and undivided profits of a corporation after provision has been made for dividends and reserves,"carry-over,carry-forward",Q744762,non-standardized contract between two parties to buy or sell an asset at a specified future time at a price agreed upon today,"forward_contract,Forward_contract,forward_transactions,Forward_trade,forward,forward_contract,forward_sale,forward_selling,Outright_forward,forward_currency_contracts,Forward_contract,Forward_contracts,carry-forward,outright_forwards,forward_premium,forward_trading,to_arrive,forward_price),Forward_contract_pricing,forwards,Forwards,forward_sales_agreement,sells_forward,buys_forward,Rational_pricing,cost_of_currency_hedges",7|8
chromolithography.n.01,single- or multi-color lithography,chromolithography,Q19972985,chromolithography by Carl Svante Hallbeck,"Njommelsaska,_Lapland",7|8
radish.n.02,radish of Japan with a long hard durable root eaten raw or cooked,"radish,daikon,Japanese_radish,Raphanus_sativus_longipinnatus",Q28048050,Japanese vegetable,"Japanese_radish,daikon,Japanese_radish,Japanese_radish",7|8
press_box.n.01,box reserved for reporters (as at a sports event),press_box,Q7241635,Section of a sports stadium reserved for journalists,"Press_box,Press_box,press_box,press-box,Press_Box,Press_box,booths",7|8
table_rapping.n.01,alleged form of communication with spirits of the dead,"table_rapping,table_tapping,spirit_rapping",Q829348,religious movement based on the belief that one can communicate with the spirits of the dead,"spiritualism,Spiritualism,spiritual_medium,spiritualist,Spiritualism,spiritualist_movement,spiritual_phenomena,Spiritualists,Spiritualist_faith,Modern_Spiritualist_Movement,convinced_believers,spirits,Spiritualistic,spirit_communication,spiritualist_séances,spiritualism,spirit_hypothesis,channelling,spirit_rapping,belief_in_the_survival_of_personality_after_death,Spiritualist_movement,psychics,spiritualistic_phenomena,mediums,Spiritual,spiritual_events,spiritualistic,Spiritual_bond,contact_the_dead,spiritualists,spiritual_believes,spiritualist_hypothesis,psychic_phenomena,Spiritualist_Church,spiritual,Spiritualist",7|8
harvest_moon.n.01,the full moon nearest the September equinox,harvest_moon,Q27851542,full moon closest to the autumnal equinox,harvest_moon,7|8
nectarine.n.01,variety or mutation of the peach bearing fruit with smooth skin and (usually) yellow flesh,"nectarine,nectarine_tree,Prunus_persica_nectarina",Q841156,"a peach of a variety with smooth, thin, brightly colored skin and rich firm flesh",nectarine,7|8
delta_rhythm.n.01,the normal brainwave in the encephalogram of a person in deep dreamless sleep; occurs with high voltage and low frequency (1 to 4 hertz),"delta_rhythm,delta_wave",Q47246697,"A form of ventricular pre-excitation characterized by a normal PR interval and a long QRS interval with an initial slow deflection (delta wave). In this syndrome, the atrial impulse travel to the ventricle via the MAHAIM FIBERS which connec","Pre-Excitation,_Mahaim-Type",7|8
osculate.v.01,be intermediate between two taxonomic groups,osculate,Q1155470,mean distance from the Earth's center to its surface,"Earth_radius,R⊕,radius_of_the_Earth,Earth_radius,,radius_of_Earth,rectifying_Earth_radius,Earth's_mean_radius,Mean_radius,earth_radius,radius_of_the_Earth,Earth_radius#Authalic_radius,authalic_radius,Earth's_radius,Earth_radius#Prime_vertical,mean_Earth_radius,Authalic_mean_radius,Earth_radius#Curvature,Earth_radius#Osculating_sphere,Earth_radius,Earths,Earth_radius#Rectifying_radius,circumference_of_the_Earth,Radius_of_curvature_on_the_Earth,Earth_radii,Earth's_average_meridional_radius,radius_of_the_earth,combinations,Earth's_equatorial_radius,Earth,mean_radius,the_radius_of_Earth,times_that_of_Earth,Earth_radius#Equatorial_radius,Radius_of_Earth,mean_earth_radius,meridian_radius_of_curvature,Earth_radius#Principal_sections,equatorial_radius,ER,meridional_radius_of_curvature,Earth_radius#Polar_radius,normal_radius_of_curvature,radius,Earth_radius,Radius_of_curvature_of_the_earth",7|8
rewardingly.r.01,in a rewarding manner,rewardingly,Q22294924,"The associative learning process by which an animal learns and remembers an association between a neutral, unchanging environment and a putatively rewarding, internal state produced by a xenobiotic or drug.",conditioned_place_preference,7|8
hepatitis_c.n.01,a viral hepatitis clinically indistinguishable from hepatitis B but caused by a single-stranded RNA virus; usually transmitted by parenteral means (as injection of an illicit drug or blood transfusion or exposure to blood or blood products),hepatitis_C,Q154869,human viral infection,"hepatitis_C,hep_C,NANBH,Viral_hepatitis_C,chronic_hepatitis_C,hepatitis_C_infection,hepatitis_nonA_nonB,Non-A,_Non-B_Hepatitis,hepatitis_type_C,Hepatitis_C,Hepatitus_C_Virus,infected,HCV,Hepatitis_C_virus_(HCV),hepatitis,chronic_Hepatitis_C,Hepatitis_C#Sustained_viral_response,C,Hepatitis_C,Hepatitis_C_infection,Hepatitis_C,Anti-HCV_ELISA,infection,hepatitis&nbsp;C,hepatitis_C",7|8
ejaculator.n.01,a man who ejaculates semen,ejaculator,Q319312,Human disease,"premature_ejaculation,premature_ejaculation,Premature_ejaculation,ejaculates_prematurely,premature_ejaculation,''ejaculatio_praecox'',happen_prematurely,ejaculates,ejaculated_quickly,premature_ejaculatory,premature,methods_for_treating_premature_ejaculation,Premature_Ejaculation,Quickdraw,premature_detonation,prematurely_ejaculate,ejaculated_prematurely,prematurely_ejaculates,prematurely,treatment_of_premature_ejaculation,Premature_ejaculation,climaxes_prematurely",7|8
euphausia_pacifica.n.01,food for jellyfish,Euphausia_pacifica,Q992625,species of crustacean,"Euphausia_pacifica,North_Pacific_krill,Euphausia_pacifica,Euphausia_pacifica",7|8
charleston.v.01,dance the Charleston,Charleston,Q5777519,Athletic teams that represent the College of Charleston,"College_of_Charleston_Cougars,Charleston_Cougars,College_of_Charleston_Cougars,College_of_Charleston_Cougars,Charleston_Athletics,Charleston,Cougars,College_of_Chaleston,College_of_Charleston,Charleston_Cougars",7|8
motorcycling.n.01,riding a motorcycle,motorcycling,Q608003,riding a motorcycle,"motorcycling,motorbiking,Motorcycling,motorcycling_culture,Motorcycling_subculture,biker,motorcyclists,riding,biker_subcultures,motorcycling,moped_riders,Bikies,motorcyclist,motorcycle_riding,motorcyclists',motorcycle_enthusiasts,Biker,relevant_subculture,motorbikers,biker_subculture,Motorcycling,bikers,motorcycle_rider",7|8
